Fecha             Temperatura maxima       Temperatura minima
2020-09-22               24                       13
2000-07-08               41                       18
2025-06-21               45                       19
2025-02-17               17                       -2
2007-02-21               23                       10
2017-07-21               47                       20
2000-08-12               42                       17
1999-01-01               17                       -5
1996-04-20               28                       11
1970-01-01               19                       4
1874-09-23               34                       12
1987-08-23               42                       13
